stock_symbol,date_time
SNL,2019-08-08 14:40:05
SHREECEM,2019-08-09 13:49:56
LINDEINDIA,2019-07-23 15:39:08
KOPRAN,2019-08-08 15:21:49
GARFIBRES,2019-08-07 15:34:05
SONATSOFTW,2019-08-07 14:51:10
BHARATFORG,2019-08-13 10:03:49
SUTLEJTEX,2019-08-06 13:45:06
SHANTIGEAR,2019-07-23 14:30:26
KIRLOSENG,2019-08-09 12:02:25
BRITANNIA,2019-08-09 11:17:22
CENTURYPLY,2019-08-09 14:08:18
INDOCO,2019-08-13 12:18:34
ORIENTALTL,2019-08-14 15:48:41
OLECTRA,2019-08-09 15:16:17
LINCOPH,2019-08-14 15:23:51
GREENPLY,2019-08-14 15:18:00
SHRIRAMEPC,2019-08-06 15:37:14
MAZDALTD,2019-08-13 14:15:18
FAZE3Q,2019-08-14 13:53:05
SOBHA,2019-08-09 14:58:03
GODREJPROP,2019-08-08 13:36:55
BINDALAGRO,2019-08-09 15:57:03
DUROPLY,2019-08-14 13:40:13
ICIL,2019-08-08 15:26:26
JBCHEPHARM,2019-08-13 13:03:56
BANG,2019-08-14 13:05:14
LAMBODHARA,2019-08-14 14:48:23
PFOCUS,2019-08-13 15:44:44
BODALCHEM,2019-08-13 13:55:44
ROHLTD,2019-08-09 13:44:39
IRB,2019-08-06 15:48:18
NECLIFE,2019-08-14 14:29:33
NRBBEARING,2019-08-09 14:50:08
WELCORP,2019-08-07 13:52:01
NAVKARCORP,2019-08-07 15:27:28
ASAHIINDIA,2019-08-06 14:19:20
INDTERRAIN,2019-08-13 14:21:02
ACE*,2019-08-05 15:11:17
IOB,2019-07-23 13:03:09
ASTERDM,2019-08-07 14:24:07
AKSHOPTFBR,2019-08-08 15:40:11
SANGHVIMOV,2019-08-08 15:10:25
TAKE,2019-08-08 13:38:02
ASIANTILES,2019-08-06 14:43:09
HINDUNILVR,2019-07-23 15:43:11
NILE,2019-08-14 13:22:05
SFL,2019-08-06 15:44:34
LAXMIMACH,2019-07-22 14:19:40
PANCARBON,2019-08-08 13:19:08
ORISSAMINE,2019-08-13 14:54:15
SRIPIPES,2019-07-22 13:09:49
KIOCL,2019-08-06 15:04:30
EXCELINDUS,2019-08-13 14:34:39
XCHANGING,2019-08-13 15:38:37
JSWENERGY,2019-08-06 14:17:38
ADVENZYMES,2019-08-08 13:13:44
MFSL,2019-08-06 14:52:03
SUNPHARMA,2019-08-13 15:06:08
UCOBANK,2019-08-08 15:09:29
UGARSUGAR,2019-08-14 15:30:29
RAJPALAYAM,2019-08-13 12:02:58
OAL,2019-08-09 15:17:28
KAKATCEM,2019-08-09 15:35:54
NITCO,2019-08-09 14:56:00
DATAMATICS,2019-08-13 13:49:55
HOVS,2019-08-08 13:42:54
BLUESTARCO,2019-08-13 15:18:33
GANESHHOUC,2019-08-14 12:41:45
SPECIALITY,2019-08-09 15:35:35
KIRLOSIND,2019-08-08 13:07:22
ADCINDIA,2019-08-05 14:27:10
HERCULES,2019-08-09 11:20:51
ROSSELLIND,2019-08-09 15:54:19
ITDC,2019-08-14 15:05:13
KAJARIACER,2019-07-23 13:53:32
KITEX,2019-08-14 15:46:44
NCC,2019-08-09 14:51:36
CHALET,2019-08-13 14:26:25
SIMRAN,2019-08-14 13:56:14
SUBROS,2019-08-09 15:15:42
VOLTAS,2019-08-07 13:45:42
HDFCLIFE,2019-07-23 13:24:06
WONDERLA,2019-08-08 14:42:24
SUPERHOUSE,2019-08-14 15:33:52
SOLARA,2019-08-13 12:00:22
HTMEDIA,2019-07-23 13:03:25
GABRIEL,2019-08-13 13:04:10
VTL,2019-08-13 13:47:09
HINDALCO,2019-08-09 13:27:56
MAKERSL,2019-08-08 10:34:17
ARVIND,2019-08-06 13:44:09
CIPLA,2019-08-07 14:53:48
VIDHIING,2019-08-14 13:35:59
ARCHIDPLY,2019-08-14 13:07:22
BAJAJHIND,2019-08-13 13:56:54
PIDILITIND,2019-08-06 13:53:22
INDNIPPON,2019-08-13 14:04:30
JKIL,2019-08-07 14:37:50
LUPIN,2019-08-07 13:49:53
KESORAMIND,2019-08-08 15:34:08
GSCLCEMENT,2019-08-09 13:41:50
TITAN,2019-08-06 14:56:18
INDIACEM,2019-08-07 12:58:28
NBVENTURES*,2019-08-08 14:48:03
ABBOTINDIA,2019-08-08 13:09:57
GDL,2019-08-14 14:09:25
KANSAINER,2019-07-29 13:46:43
JENBURPH,2019-07-30 14:21:34
PNBHOUSING,2019-07-30 15:42:17
UDAICEMENT,2019-07-24 13:59:14
CANBK,2019-07-24 15:00:39
SUPREMEIND,2019-07-29 12:45:52
RSYSTEMINT,2019-07-30 13:06:06
REPRO,2019-07-30 14:25:16
KPRMILL,2019-07-29 14:25:22
NAVINFLUOR,2019-07-29 15:21:45
PTL,2019-07-30 15:41:27
RANEENGINE,2019-07-29 15:20:25
APTECHT,2019-07-22 15:54:44
ULTRAMAR,2019-07-29 13:37:34
EIDPARRY,2019-07-29 15:02:44
BHARATWIRE,2019-08-14 14:57:17
SOLARINDS,2019-07-30 14:40:39
ORIENTBANK,2019-07-22 13:42:20
THEMISMED,2019-08-07 15:48:10
KSB,2019-07-24 15:14:42
MAHSCOOTER,2019-07-24 12:12:13
UNITEDBNK,2019-07-30 13:12:53
NEWGEN,2019-07-24 13:49:07
ORIENTPPR,2019-08-13 11:46:52
KARURVYSYA,2019-07-24 12:03:15
WELSPUNIND,2019-07-30 13:54:58
DOLLAR,2019-08-07 14:24:20
VIPIND,2019-07-30 13:18:37
GHCL,2019-07-29 13:19:12
BANKINDIA,2019-07-30 12:31:16
ORIENTELEC,2019-07-30 14:47:02
CHENNPETRO,2019-07-29 14:28:13
UMANGDAIR,2019-07-24 15:54:59
GUJBOROS,2019-07-29 12:58:56
ORIENTCEM,2019-07-29 14:54:35
GEOJITFSL,2019-08-07 14:41:52
ENKEIWHEL,2019-07-30 14:55:35
SWARAJENG,2019-07-30 14:21:20
INSILCO,2019-07-30 13:52:47
JMCPROJECT,2019-07-29 14:21:50
NOCIL,2019-07-30 13:53:37
WOCKPHARMA,2019-08-14 11:36:10
JUBLFOOD,2019-07-24 14:34:35
APLLTD,2019-07-29 14:19:41
AXISBANK,2019-07-30 15:48:39
GRANULES,2019-07-30 12:18:30
ASIANPAINT,2019-07-24 13:19:11
